species,taxonomic.group,fitness.proxy,Fitness.Nopt,Fitness.Nlow,Fitness.Nhigh,Fitness.Nmediumhigh,Fitness.Nmediumlow,Dispersal.Nopt,Dispersal.Nlow,Dispersal.Nhigh,Dispersal.Nmediumhigh,Dispersal.Nmediumlow,Fitness.totalN,Dispersal.totalN
Aphanomyces.euteiches,oomycete,r,12,12,12,NA,NA,6,6,6,NA,NA,36,18
Armadillidium.vulgare,arthropod,survival,40,NA,40,40,NA,16,NA,16,16,NA,120,48
Bigelowiellia.natans,microalgae,r,12,12,12,NA,NA,6,6,6,NA,NA,36,18
Folsomia.candida,arthropod,r,15,15,15,NA,NA,15,15,15,NA,NA,45,45
Gryllus.campestris,arthropod,survival,15,15,NA,NA,14,7,7,NA,NA,7,44,21
Notonecta.undulata,arthropod,egg.production,25,25,21,NA,NA,57,67,47,NA,NA,71,171
Pardosa.sp,arthropod,deltamass,20,25,NA,NA,26,14,14,NA,NA,14,71,42
Philoscia.muscorum,arthropod,survival,22,NA,21,21,NA,11,NA,11,11,NA,64,33
Pisaura.mirabilis,arthropod,deltamass,19,19,NA,NA,19,10,NA,10,10,NA,57,30
Pteronemobius.heydenii,arthropod,survival,21,NA,21,22,NA,11,NA,11,11,NA,64,33
Tetrahymena.thermophila_ISEM,protist,r,5,5,5,NA,NA,5,5,5,NA,NA,15,15
Tetrahymena.thermophila,protist,r,10,10,10,NA,NA,10,10,10,NA,NA,30,30
Tetranychus.cinnabarinus_PT,arthropod,egg.production,32,32,29,NA,NA,32,32,31,NA,NA,93,95
Tetranychus.cinnabarinus,arthropod,malthusian.fitness,3,3,3,NA,NA,3,3,3,NA,NA,9,9
Tetranychus.evansi,arthropod,egg.production,16,31,16,NA,NA,18,15,11,NA,NA,63,44
Tetranychus.turkestani,arthropod,malthusian.fitness,3,3,3,NA,NA,3,3,3,NA,NA,9,9
Tetranychus.urticae,arthropod,malthusian.fitness,3,3,3,NA,NA,3,3,3,NA,NA,9,9
Trichogramma.cacoeciae,arthropod,r,6,6,6,NA,NA,6,6,6,NA,NA,18,18
